環境の変化は国家安全保障上の利益と両立しうるか?,天然資源管理や雇用など、経済成長に対する環境問題は、多様化や研究につながり、長期的には軍事計画を強化する技術的進歩をもたらす可能性がある。,環境の変化は、軍事力を左右する経済基盤の弱体化など、さまざまな形で国家の安全保障を損なう可能性がある。つまり、経済の自然資本基盤が損なわれれば、軍隊の長期的能力も損なわれる。しかし、どのような発展であれ、その影響は「人間的」なものである。,各国が直面する環境問題は、主として国内問題である。外部からの脅威は、その国がコントロールできる範囲にとどまる。外部からの軍事的脅威は、変わることなく、主要な懸念事項であり続ける。,これらすべての選択肢。,B
軍事的安全保障領域と社会構成主義の関係について述べよ。,非現実主義的な分析レンズを通して軍事的安全保障を研究することは可能であり、文化的・社会的要因を研究の重要な焦点とみなす社会構成主義的アプローチを採用することも可能である。このため、紛争状況における社会・開発専門家の雇用を提案するなど、軍事的努力に対してより広範なアプローチを採用すべきだという主張につながっている。,社会構成主義者は、軍事的安全保障研究の基礎となっている現実主義の基盤を否定する。安全保障研究の経験的基盤を否定することで、社会構成主義的アプローチは軍事的安全保障理論を定式化する試みにおいて不十分なものとなる。,社会構成主義は、軍事中心の理論の基礎と直接矛盾する哲学的な考えに基づいている。社会構成主義者は、軍事的努力を不器用なもの、人間の安全保障に有害なものとして否定する傾向がある。,軍事的安全保障を研究するためには、分析者は現実主義のレンズを採用しなければならない。しかし、環境や人間の安全保障のような異なる参照対象の安全保障を検討するために、後に社会構成主義を含む他のアプローチと組み合わせることができる。,A
ガンショーや国際武器フェアは、違法な武器市場にどのように貢献しているのか?,活動家たちの声高な反対の対象ではあるが、ガンショーは参加者に厳格な法的規制を採用し、犯罪歴のある者が武器を購入できないようにしている。,ガンショーは、合法的に購入された武器が闇市場やグレー市場で転売できないことを保証するために規制されている。,ガンショーや武器見本市は、違法な武器の取引に大きく貢献していない。,ガンショーや武器フェアでは、参加者が武器を購入する前にセキュリティチェックを受ける必要がないことが多く、武器の流通先や使用先の詳細よりも値札に注目が集まる環境を助長している。,D
次の記述のうち、不適切なものはどれか?,社会集団には生存権がある。,社会集団はそれぞれの現実を持っている。,社会集団は社会的相互作用によって構成される。,社会集団は複数のアイデンティティを持つ単位。,C
人間の安全保障委員会が発足した際、その目的として掲げられていなかったものは次のうちどれか?,人間の安全保障とその根底にある義務について、国民の理解、関与、支持を促進すること。,人間の安全保障の概念を、政策立案と実施のためのツールとして発展させること。,人間の安全保障に対する重大かつ広範な脅威に対処するため の具体的な行動プログラムを提案すること。,人間の安全保障を強化するための新しい国際司法制度を発展させること。,D
サイバーセキュリティの観点から、「レジリエンス」とは何を意味し、なぜそれが重要なのか?,レジリエンスとは、ITシステムがサイバーセキュリティの脅威を識別し、防御する能力のこと。,真にレジリエントなITシステムを構築する唯一の方法は、あらゆる種類の脅威を撃退し、依然として攻撃を回避し続けることができるようにすること。,ITシステムにおけるレジリエンスとは、そのセキュリティに対する脅威がないときに機能する能力のこと。,レジリエンスとは、ITシステムが攻撃から回復する能力のこと。,D
TNCは国家安全保障上の脅威となっているのか?,国際犯罪は経済発展の脅威とみなされている。組織犯罪は、法の支配を弱体化させ、受入地域の治安を悪化させることによって外国からの投資を抑止するという点で、開発に対する脅威とみなされている。さらに、犯罪者はその収益を合法経済に再投資することが多く、安価な資本へのアクセスや商売敵を威嚇する能力を通じて不公平な優位性を持つ。TNCのレベルが高い社会では、合法的な投資家はしばしば資源を投入したがらない。,TNCは民主主義の安定を損なう。多くの国家において、多国籍犯罪企業は、ポスト共産主義社会への民主的移行に伴う不安定さを利用し、国家の上層部における影響力を利用することで、法の執行から身を守ってきた。新しい民主主義国家における公的機関の腐敗と法の支配の無力さは、新体制に対する国民の信頼と忠誠心を損なう一因となっている。,国家の国境取締りを回避し、物資や人の不正輸送に新たな道を提供する多国籍犯罪の能力は、国家主権の保証者、武力統制の独占者、共通善の提供者としての国家の中核的機能を行使する能力に挑戦している。TNCの犯罪活動は、多くの国家機関を腐敗させ、弱体化させ、その活動がホスト国の政府と国家政策の本質に影響を与えるメカニズムを提供している。,上記のすべてが正しい。,D
核融合核兵器は核分裂核兵器とどのような点で違うか?,核融合爆弾は、爆縮装置を使って核分裂反応を起こし、その後に核融合反応を爆発させる3段式爆弾である。熱核または水素装置とも呼ばれ、無限の破壊力を持つ。,核融合反応は、2つの軽い元素の原子核が結合したときに生じる。この反応の結果、重い元素が小さな部分に断片化される。この破砕で、破壊能力に制限のあるエネルギーが放出され、放出されるエネルギーの程度は使用される物質の質量に依存する。,核融合装置は2段階のプロセスで、ガンタイプの装置を使用して一連の核分裂反応を引き起こし、その累積結果として無制限の熱エネルギーを持つ高エネルギーの閃光爆発を発生させる。,核融合爆弾は極めて特異な破壊効果を持つ。核分裂反応から生成される重い元素と、2つの軽い原子核との質量の差（これはエネルギー爆発に変換される）は、正確に計算することができる。数メガトン級の爆弾であっても、軍事的有用性は無限であり、その破壊能力は標的に応じて製造できる。,A
「史的唯物論」という用語を定義するにあたり、最も適切な記述は次のうちどれか?,唯物論とは、階級と社会の生産的基盤、および社会構造が変化し、変化を生み出す能力を持つ方法に焦点を当てた史的唯物論のこと。,唯物論とは、ポストモダンの思想学派におけるHMのルーツを指す。,唯物論という用語は、HMが消費主義に焦点を当て、アプローチにおける経済力の中心性を指している。,階級志向の政治的相互作用を否定する中で、HMの学者たちは、富を物理的資源の蓄積や利用としてとらえ、このアプローチを表すために唯物論という用語を作った。,A
次のうち、1960年代から1970年代にかけて環境安全保障が台頭する一因となった出来事はどれか?,1970年代から、多くの学者がオーソドックスな安全保障の言説や慣行への批判を試み、国家や国際的な安全保障に対する環境リスクの管理能力の欠如を強調した。,環境の変化は単に生態系にリスクをもたらすだけでなく、人間の福利にもリスクをもたらすという認識が広まった。,途上国では環境意識の共有が生まれた。,これらすべての選択肢,D
TNCは新しい現象か?,犯罪レベルに関する懸念は、冷戦終結のただ中で軍が再認識したその役割により生まれたというコンセンサスを越えて、1980年代から1990年代にかけての国境を越えた犯罪の規模と範囲によってもたらされる脅威が現実的かつ増大しているという主張を実証する証拠はほとんどない。,かつての非合法市場は地域的に境界があり、孤立していたが、現代の非合法市場は相互に関連し、相互に支え合い、合法経済の中に組み込まれている傾向がある。,TNCは、国家の非対称的な経済発展と、開発に対する環境的制約と結びついたグローバル市場資本主義の不平等に対応した、疎外された人々による対応。,国際犯罪は、もはや特定の地理的地域や民族集団の専売特許ではなく、活動のグローバル化が進み、影響を受ける集団や国の数が増え、合法的な取引に占める違法市場の割合が増加している。,B
不正な武器取引への対応策でないものは次のうちどれか?,2001年銃器、その部品及び構成品並びに弾薬の不正製造及び不正取引に関する国連議定書。,2001年あらゆる側面における小型武器および軽兵器の不正取引を防止し、これと闘い、根絶するための国連行動計画,2001年国家安全保障上の脅威としての HIV/AIDS に関する国連安全保障理事会決議 1308。,2005年武器のマーキングとトレーシングに関する合意,C
20世紀後半まで、戦争における女性の役割は、安全保障研究の関心領域として軽視されてきたが、その理由は何か?,女性は戦闘員として積極的に戦争に参加することはなかったため、安全保障を考える上でジェンダーや女性の役割に関する問題は重要ではなかった。,女性が暴力において果たす役割は、それが被害者であれ、加害者であれ、それ以外であれ、個人として、あるいは女性としてではなく、その役割が国家にどのような影響を与えるかという観点から組み立てられていた。,女性の役割は適切に考慮された。女性は支配的な安全保障システムを支える上で、多くの重要な役割を果たしてきた。,女性は一般的に戦争を支持せず、反戦運動や反対運動に従事することを好むため、戦争研究への貢献はわずかである。,B
人道的介入に反対する現実主義者の主張に対する主な批判は何か?,人道的介入に対する現実主義者の反対は、国家が自国民を守るという前提に基づいている。,現実主義の立場は、主権に内在する責任を見落としている。,人道的介入を批判する人々は、基本的人権に関する広範な国際法の体系や、ジェノサイドのような重大な犯罪に関するコンセンサスを見落としている。,これらすべての選択肢,D
次の記述のうち、「グローバリゼーション」という用語の理解を最もよく表しているものはどれか?,グローバリゼーションとは、共有された覇権的価値観が世界中の社会に浸透し、多くの場合資本主義の経済原則に基づくイデオロギー的共同体に引き込まれる過程を指す。,グローバリゼーションは、世界的な社会関係の激化と相互依存の増大と表現するのが最も適切であり、新しいテクノロジーの発展による空間と時間の圧縮の結果。,グローバリゼーションは、主に経済的・技術的なレベルで人々が互いに緊密に接触するようになり、国際社会が「縮小」することとして最もよく表現される。このプロセスは20世紀初頭に始まり、西ヨーロッパに端を発するイデオロギー的遠征に基づいていた。,グローバリゼーションは1980年代以降、政治権力と技術進歩の中心地であった西ヨーロッパから始まった。このプロセスは、物理的なモノ、人、アイデアを世界中に効率よく輸送する通信・旅行産業の技術進歩の直接的な結果。,B
弱小国はどのような方法で対外的な挑戦を受ける可能性があるか?,強国は、弱小国が国際規範を遵守するよう外交的圧力をかけることがある。これには、経済制裁や武器取引の差し控えが含まれるかもしれない。これは、国家の軍隊への支払い能力や供給能力を弱体化させ、軍隊の不満やクーデターの可能性を高める。,弱小国家は、国家の権威に挑戦する際に使用できる小型武器の拡散に脅かされている。小型・軽量の武器は合法・非合法のルートを通じて購入可能であり、軍閥や犯罪者、民兵のいる地域に普及している。,弱小国家はグローバル化の過程から孤立したままではいられない。国境がますます曖昧になり、移民や移住が増加している。グローバル化した市場で競争するために、弱小国家は国際機関からの金融・信用援助や援助を確保しようとする。しかし、このようなプロセスは国家の覇権的理念を損ない、社会のアイデンティティが曖昧になるため、国家がそのイデオロギー的魅力を維持することが難しくなる。,これらすべての選択肢,D
安全保障のジレンマの概念を社会的アイデンティティの観点から考える場合、当てはまるのは次のうちどれか?,社会の安全保障のジレンマの曖昧さは、文化的（肯定的）ナショナリズムと民族的（否定的）ナショナリズムの二つの側面から生じることがある。民族的（政治的）ナショナリズムは、より悪質で、国家の崩壊につながるものとして語られることが多いが、文化的ナショナリズムは、既存の国家構造の中で機能する良性のものと見なされることが多い。,文化的ナショナリズムと政治的ナショナリズムを明確に区別することは困難である。文化的ナショナリズムは時として、それ自体を単なる文化的な運動から政治的な運動へと変化させざるを得ず、政治的ナショナリズムと混同されることがある。,支配的な行為者は、政治的支持を動員する目的で脅威認識を誇張することがあり、その結果、行動反応プロセスが生じることがある。,これらすべての選択肢,D
用語「安全保障上のジレンマ」とは何を意味し、国際安全保障環境にどのような影響を与えるか?,安全保障上のジレンマは、国際環境を安定させる力として活用することができ、すべての国家を軍事攻撃の危険に等しくさらし、反生産的軍事力の蓄積を抑制する。安全保障上のジレンマの影響は、広範囲に及ぶ影響を及ぼす可能性があるものの、軍事安全保障の領域に大きく限定される。,安全保障上のジレンマは、現実主義者が概念化する無政府状態の国際システムから生じる。このような環境では、国家は自国の軍事的努力によって安全保障を追求せざるを得ない。このことは、他の国家を脅かすものとして認識され、軍拡競争のスパイラルを引き起こす。安全保障上のジレンマは、軍事以外の安全保障分野、特に政治的安全保障分野や社会的安全保障分野にも影響を及ぼす。,安全保障上のジレンマという用語は、国際安全保障の伝統的な現実主義的パラダイムに内在する絶え間ない不安定状態を指す。安全保障上のジレンマは、人間や社会の安全保障に最も顕著な影響を及ぼし、政治や軍事といった伝統的な安全保障領域への初期的な影響を上回ることが一般的である。,安全保障上のジレンマは、軍事領域以外の安全保障領域にも影響を及ぼすが、社会的安全保障への影響は限定的である。この用語は主に、国家が自国の軍事力を周囲の国家に対してどのように概念化するかを指す。,B
次の記述のうち、戦略政策としての軍備管理を特徴づけていないものはどれか?,軍備管理は協調的安全保障の一例であり、安全保障上のジレンマに伴う問題に対処するために考案された。,軍備管理および軍縮政策は、安全保障を達成するために冷戦時代に追求された。,軍備管理は、国際システムにおける兵器と軍事力の中心的役割に異議を唱えるものではなく、特定の兵器システムと関係によって生じる問題に焦点を当てるもの。,冷戦時代にその適用が成功した後、軍備管理は、現代の安全保障環境においてもその勢いと適用可能性を維持している。,D
テロリズムにはどんな種類があるのか?どのグループも同じか?,宗教的テロリズムは、冷戦後の時代の特徴のひとつであるように思われる。宗教テロとは、イスラム原理主義の過激な活動を指すと理解されている。アルカイダは宗教テロ集団の最も顕著な例であり、世界的に活動しているとされているが、宗教テロはアルカイダ・ネットワークに限定されるものではない。ボスニアにおける民族浄化や、アメリカにおける妊娠中絶反対派の暗殺を正当化するために、キリスト教の信仰が利用された。,テロ集団はイデオロギーからアイデアを引き出している。ヨーロッパでは1970年代から1980年代にかけて、さまざまな左翼やマルクス主義のイデオロギーに根ざしたテロ暴力の波があったが、1980年代後半には衰退し始めた。右翼グループも存在し、多くの場合、移民や外国人労働者を標的に、あからさまな外国人嫌悪や人種差別的見解をもっている。,民族的、言語的アイデンティティによって定義される集団は、テロ集団の組織にとって広範なカテゴリーである。いくつかの国では、多数の反植民地グループが民族的基盤を持ち、解放戦争でテロ戦術を用いた。このような忠誠心や戦術は、独立後も不変であることが証明されたケースもある。民族的・言語的帰属意識は、領土や他民族からの民族的独立と結びついたとき、テロ行為の強力な動機となることが証明された。,上記のすべてが正しい。,D
国防貿易にはどのような行為者が関与しているのか?,国防貿易は、軍備を調達または販売する国家間の合法的なビジネス交流に関するもの。,軍事組織は国防貿易における唯一の行為者である。,国防貿易に関与しているのは国家主体だけではない。非合法集団を含む非国家主体も主要なプレーヤーである。,国防貿易とは、国家間の法的な相互作用の外で行われる武器や小型武器の貿易のみを指す。,C
冷戦期とそれ以降、HMはどのように発展してきたのか?,冷戦後の時代、安全保障研究の分析枠組みとHMの間にはますます乖離が生じ、HMは脇に追いやられ主要な研究対象から除外されるようになった。,冷戦期におけるHMの人気の後、HMは安全保障対話に徐々に取り込まれ、現在では安全保障研究の主要なパラダイムのひとつとみなされている。,冷戦期にはHMに否定的なイメージがつきまとい、この時期にはHMの隆盛は制限され、安全保障研究の主流からは排除された。その後、安全保障研究のアジェンダが広がったことで、HMが研究対象として取り上げられることが増えた。,HMは、冷戦後の安全保障研究のアプローチとして発展し、進行中の安全保障環境の中で繁栄してきた。また、冷戦時代の著名な行為者との提携のおかげで、評判の高い成功を収めている。,C
TNCはどの程度、どのような形でテロと結びついているのか?,冷戦の終結と新たな資金源を確保する必要性から、テロ集団と国際犯罪組織との間に直接的な協力関係があることを示す証拠が増えつつある。ほとんどのテロリスト・グループにとって、犯罪活動は最も重要な資金源のひとつであり、テロリスト・ネットワークの世界的な拡散は、不法市場活動の拡散と相関関係にある。,テロ集団と犯罪組織の結びつきは、一般に一時的な異常事態である。長期的な戦略目標が異なるため、協力のレベルは一般的に戦術的な一時的同盟であり、ほとんど広範な効果はない。,テロリズムと国際犯罪の収束をめぐる証拠は増えているが、この現象が長期的な戦略的同盟なのか、それとも一時的な「便宜結婚」なのかについてのコンセンサスは得られていない。,これらすべての選択肢,C
1960年代初頭における現実主義的国際関係論者と平和研究者の関係を最もよく表している記述はどれか?,平和研究者も現実主義者も、軍拡競争の激化に学術的に焦点を当てることを提唱していた。この危機に対する解決策の提案という点では、両者の間に緊張関係が存在したが、ソ連圏を核の脅威として排除し、西側の自由民主主義国家の存続を支持するというコンセンサスが存在した。,現実主義学派とは対照的に、平和研究者たちは核兵器の蓄積の裏にあるそれらの研究に焦点を向けた。この結果、2つのグループの間には緊張が生じ、前者は優れた軍事力を獲得することが安全保障の達成に最も重要であると考えていた。,平和論研究者が軍拡競争の激化を国際連盟の失敗の結果であるとしたのに対し、現実主義の学者らはソ連圏と西側自由民主主義諸国との間のイデオロギーの相違がもたらした自然な成り行きであるとみなした。この結果、現実主義者と平和研究者の研究課題には相容れない相違が生じた。,冷戦の東西分断は、現実主義者と初期の平和研究理論家との間に鋭い溝を生んだ。現実主義者たちは、西側の自由民主主義国家の存続に有利な研究に焦点を当てることを望んだが、平和研究の擁護者たちは、このようなアプローチは狭く、西側民族中心主義的であるとみなした。,D
「エネルギー安全保障ネクサス」の重要な成果は次のうちどれか?,南部のエネルギー備蓄を支配しようとする試みは、中核的大国間の協力の持続可能性に影響を及ぼし、この形態の支配をめぐる地政学的対立の出現は、国際安全保障に影響を及ぼす。,これらすべての選択肢,エネルギー資源の生産と供給に関する共通の不安によって団結し、国際的な関係者は交渉を余儀なくされ、国家間の協力が増加する。,世界の「北」がアクセスを望むエネルギー資源によって、「南」の国家は国際舞台で力を得て、世界の南北格差とそれに伴う不平等を是正してきた。,A
戦略的状況はどのような形で環境安全保障の視点に影響を与えたのか?,冷戦の終結は、政策行動における多国間主義によって強調された環境意識の高まりに照らして、安全保障政策と安全保障研究が再考される余地を生み出した。,1973年、石油輸出国機構(OPEC)は石油供給を制限し、軍の産業能力を強調したが、安全保障を国益と結びつけることを必要とする深刻な心理的影響を残した。エネルギー取引と環境の確保は軍事能力外交と結びついた。,イデオロギー主導の軍事的安全保障は、共産主義の崩壊を受けて、領土保全の必要性に取って代わられた。波及の脅威を考えると、軍事的安全保障が最優先された。冷戦後の新たな安全保障環境に取り組む安全保障機関にとって、環境は周辺的な関心事にとどまった。,冷戦秩序の終焉は、安全保障問題を冷戦時代の軍事的メンタリティを超えて拡大するための知的空間を創出した。政治科学者や環境科学者の間で行われた研究では、新たな安全保障問題に対処する方法が議論された。しかし、大量に出版物が作られたが、政策にはほとんど影響を与えなかった。,A
次の記述は、HMにおける「階級」の概念化を定義するものであるが、誤っているのはどれか?,HMの提唱者はみな、社会階級が重要であることを認めている。,HMのパラダイムでは、重要な階級の唯一の形態は社会階級。,HMの焦点は、主として階級と資本との関係における階級にある。,HMは、階級は資本家の支配階級と労働者階級という単純な区分よりもはるかに複雑なものであるとみなしている。,B
次の安全保障分野のうち、エネルギー安全保障と本質的に結びついているものはどれか?,経済と開発の安全保障。,体制と国際的安全保障。,環境と人間の安全保障。,これらすべての選択肢,D
HMとリアリズムの間にはどのような関係があるのか?,HMもリアリズムも、社会の中にある種の識別可能な現実が存在するという考え方に基づいている。,HMは、リアリズム、リベラリズム、社会構成主義と共通する面もあるが、資本主義内の階級闘争を中心的な焦点としている点で特徴的なものを提供している。,HMは、国際システム内の行為者としての国家の重要性を認識する一方で、国家は支配階級のエリートの利益を優先すると主張している。,上記のすべて,D
1990年代の国際犯罪（TNC）の拡大を可能にした要因は何か?,国防費が減少し、軍備が縮小された結果、活動のリスクが減少したため、国際犯罪が発展した。,TNCという概念は、ヨーロッパにおける紛争解決や平和構築の手段として、人間の安全保障上の懸念や弱小国家における発展の機会と結びついて、学術的な領域で出現した。,国際犯罪活動は常に国際システムの特徴であった。政策コミュニティにおいて、TNCへの関心が高まっているのは、情報通信技術が高度化し、問題の規模や範囲を正確に把握できるようになったため。,グローバリゼーションのような国際的な潮流は、国境を越えた犯罪の発展のために新たな空間を開くという意図せざる結果をもたらしたかもしれない。,D
なぜ多くのフェミニスト学者は、女性を軍事領域や武力戦闘から排除することを重要視するのか?,武力紛争の退役軍人は、しばしば政治的地位や国家機関の有力な役職を得ることで報酬を得ることがある。,軍事活動への参加は、しばしば強さ、愛国心、勇気の表れとみなされる。,女性の参加を認めないという決定の根拠は、一般に、他の方法で女性の市民社会への参加を制限することができる恣意的で差別的な理論的根拠に基づいている。,これらすべての選択肢,D
エネルギー安全保障と石油生産の文脈で、「安定性」という用語を定義していないものはどれか?,産油国の体制に対する挑戦がないこと。,生産、輸出、供給の現状が維持されている政治的・経済的状況。,産油国における優先事項としての人間の安全保障とそれに付随する環境安全保障の促進。,北米、欧州、国際石油会社の利益によって「友好的」とみなされる体制の安全保障。,C
本章で概説したように、人道的介入のケースは、どのような点で限界があるか?,個人が普遍的かつ基本的な人権を持っていることは自明ではない。,人道的介入の擁護者は、人権を守るための武力行使に関する世界的なコンセンサスの程度を誇張している。,個人の権利を守るための武力行使を是認する規範は、強大な国家によって濫用される可能性がある。,これらすべての選択肢,D
次の記述のうち、安全保障化プロセスに当てはまらないものはどれか?,安全保障化は安全保障化主体の権力を明らかにする。,安全保障を行う主体が民主主義国家である場合、関連する聴衆は通常、言論行為を拒否する権利を持つより広範な集団である。,臨時措置の採用は、存亡の危機を遡及的に聴衆に確信させることができる。,権威主義体制やその他の非民主主義体制では、関連する政治的意思決定はしばしば軍部や政治エリートによって支配される。,C
20世紀の間に、軍事的安全保障に関して安全保障研究の焦点はどのように変化したか?,安全保障の分野を考えるとき、安全保障研究は常に幅広い分野を対象としてきた。伝統的な安全保障研究では、軍事的安全保障と並んで、さまざまなタイプの安全保障、とりわけ人間の安全保障と経済的安全保障が注目されてきた。冷戦後、このアプローチは、環境安全保障や個人的安全保障など、他のタイプの安全保障を含むように拡大された。,軍事的安全保障は、冷戦後、安全保障分析の中で支配的な分野として台頭してきた。学者も実践者も、軍事力が人類と国家の生存に最大の脅威をもたらすという考えに基づき、軍事的安全保障を追求することが最も重要であることを認識している。,冷戦以前は、安全保障研究の焦点は軍事分野にあったが、環境安全保障が安全保障に対する深刻な脅威として急速に台頭し、分析者はそれまで採用してきた国家中心の枠組みを再考せざるを得なくなった。,冷戦時代、安全保障アナリストの多くは、軍事安全保障を安全保障研究の焦点とすべきであるとの見解で一致していた。その結果、軍事部門以外に安全保障が何を伴うかについてはあまり議論されなかった。 この期間の後、安全保障研究は、環境安全保障や政治安全保障を含む、今日我々が目にするより広範な分野を含むように拡大された。,D
次のうち、自由主義的アプローチの限界とされていないものはどれか?,自由主義は、武力行使が正当化される場合や必要な場合を定義するのが非常に困難である。,自由主義はしばしば内部的に一貫性がないため、指針としての適用が制限される。,国際システムの意思決定過程における広範な行為者の重要性に対処していない。,自由主義者の影響力は単に西洋の優位性を反映しているに過ぎず、将来的にその妥当性を損なう可能性がある。,C
20世紀における平和研究の発展に関するこれらの記述のうち、当てはまらないものはどれか?,平和研究の中で、その後の発展のひとつは、紛争予防、紛争解決、平和維持への大きな関心であった。,冷戦の最中、平和研究はしばしば「宥和研究」のレッテルを貼られ、批評家たちから激しい反発を受けた。,1970年代までに、著名な平和研究者たちは平和研究の範囲を広げることを求めたが、その試みはほとんど失敗に終わった。,平和研究は、紛争の主要な問題について、よりグローバルで非国家中心の視点を提供しようとした。,C
現代の文脈において、平和研究はどのように定義するのが最も適切か?,冷戦の衰退に伴う平和研究の拡大を受けて、この分野は、国際的なレベルでも地方レベルでも、紛争解決、経済的安全保障、暴力の停止をめぐる問題を扱う、独立した自律的な研究分野として台頭してきた。研究分野として、平和研究は、開発学や国際関係学とは一線を画すものとして最もよく定義される。,平和研究は、紛争を終結させるための非暴力的手段の探求に焦点を当てた研究課題によって、最もよく定義される。平和研究者は、暴力と武力行使をめぐる問題を優先する紛争解決への「トップダウン」アプローチを採用し、安全保障の参照対象としてその行為者を確保しようと、扇動する行為者に焦点を当てる。,平和研究は、その研究課題の移り変わりや平和研究者が扱う関心の多様性から、特定の学問的アプローチとして定義することはできない。しかし、冷戦後、この分野の成功は、多くの研究機関を擁し、世界的かつ学際的な注目を集めるようになった。,平和研究は、IRにおける現象の根本的原因への関心、グローバルな展望、学際的アプローチ、非暴力的変革の探求、分析的・規範的アプローチ、研究の中で理論と実践を結びつけるマルチレベル分析の採用によって定義される。,D
意思決定に関する経済学において、「情報」はどのような役割を果たしているか?,経済理論における意思決定において、情報は重要ではない。むしろ、意思決定プロセスに情報を与えるのは、行為者の状況認識である。,経済的意思決定において、情報は特別な意味を持たない。経済的意思決定は、行為者自身の合理的な選択よりも、行為者を強制する外的な力によって導かれる。,意思決定において情報が重要な役割を果たすのは、理論的には行為者は自らの最善の利益のために行動すると主張するが、「合理的な行動」はその時点で入手可能な情報に依存するからである。,情報は21世紀において重要な資源となり、市場商品として販売・取引することができる。,C
HMの批判としてよく挙げられるのは次のうちどれか?,HMは労働者の役割に十分な注意を払わず、その代わりに権力の源泉であり、最も重要な行為者である資本家に焦点を当てている。HMはまた、資本主義の権力構造を暗示し、労働者の人間的安全保障を支援することを害することがある。,HMは、資本主義が利己的な方法のみで行動していると非難することがあまりにも多く、すべてを階級闘争の観点から説明し、より広範な分析を損なう。HMのいくつかのバージョンは、歴史の客観的法則を発見したと主張するが、その正確さについては広く論争されている。,HMは必然的に還元主義的であり、資本主義の複雑さを単純化しすぎ、その否定的な側面と有害な影響だけを認識している。,これらすべての選択肢,B
現代のサイバーセキュリティにおける参照対象は何か?,デジタル化された機密情報,重要情報インフラ,政府のITシステム,通信ネットワーク,B
RMAの新しい用語において、正当性を示す可能性の低い表現は次のうちどれか?,ピンポイント攻撃。,無差別攻撃。,スマート爆弾。,精度目標,B
次のうち、20世紀の国防貿易の傾向として現れなかったものはどれか?,武器貿易が民間企業から政府管理企業へと移行する。,国防貿易の増加。,武器貿易の減少。,取引される武器の数と種類の増加。,C
アイデンティティの研究に関する次の記述のうち、社会構成主義に当てはまらないものはどれか?,アイデンティティは行為者を定義し、彼らが誰であるか、彼らの好みや関心が何であるか、そしてそれらの好みがどのように彼らの行動に影響を与えるかを教えてくれる。,アイデンティティは、行動を定義する際の最も基本的な原理であり、特定の不変の行動特性から構成される自然に与えられた性質であるため、社会構成主義の観点にとって基本的に重要である。,政治主体のアイデンティティ、関心、行動は、共有された考え、集合的な意味、世界についての解釈や仮定によって社会的に構築される。,アクターは相互作用を通じてアイデンティティを形成し、相互作用は次に、これらのアクター間に形成される関係のタイプを定義する。,B
現実主義理論の特徴はこれらのうちどれか?,国際システムは無政府状態である。,国家は、その内部的な変動よりも、むしろその力と能力の観点からお互いを評価する。,国家は一元的で合理的な行為者であり、主権国家は目標達成に適した方法で行動をとる。,これらすべての選択肢,D
コペンハーゲン学派の安全保障観を定義する記述はこれらのうちどれか?,安全保障は、それが存在する社会に関連して、社会的に構築された概念であり、実存的脅威を構成するものは、それに応じて主観的である。,安全保障は伝統的なパラダイムを使って定義するのが最もよく、可能な場合には特別な手段を使用して保護される参照対象としての国家を使用する。,安全保障を最もよく理解するためには、構成主義的なアプローチを採用しなければならない。脅威は、より広範な人々によって明確化された場合にのみ存在し、緊急措置の実施を正当化する可能性がある。,安全保障は、経験的に検証可能で独立した条件として存在し、それが適用される社会的状況に関しては、たとえあったとしても、わずかにしか変化しない。,A
覇権的な男らしさの概念を最もよく表しているのは以下のうちどれか?,社会における女性的特徴の本質的な促進。,「男性的」特性が「女性的」特性よりも高く評価されることに起因する、女性に対する男性の社会的支配。,これらすべての選択肢,ジェンダー・アイデンティティーは様々な形で存在し、二元的なものではないという認識。,B
制度上の制約は行動にどのように影響するか?,制度上の制約は、ある財に費やされる資源の量を制限し、行為者は利用可能な限られた富をどのように管理するかを選択せざるをえない。,制度とは、行為者の目標と野心に影響を与える社会規範と期待である。,制度上の制約とは、学校、刑務所、病院といった国家の手段を指し、これらの機関に資源を提供することは、政治指導者に対する要求となる。,制度とは、人間の相互作用を構造化する人間的に考案された制約であり、意思決定を導き、行動を支配する人為的な規則である。,D
次のうち、経済政策として正しくないものはどれか?,経済政策は、指導者だけでなく、影響を与えようとする人々のインセンティブも考慮しなければならない。,政策立案者は、制裁や援助を通じて、他者の安全保障を促進する行動を促すことができる。,貿易政策は、市場へのアクセスや貿易上の優遇措置と引き換えに、指導者の行動を変えさせ、安全保障を向上させることができる。,貧困への懸念は人道的な問題であり、援助によって緩和されるかもしれないが、経済科学とは直接の関係はない。,D
人道的発明に反対する現実主義者の主張で、次のうち間違っているのはどれか?,武力は国益のためにのみ使用されるべきであり、したがって人道的介入は軽率。,海外からの介入は、完全な勝利に終わる戦争の割合を減少させるが、再燃する可能性のある不安定な平和を残す。,海外からの介入は戦争を長引かせる傾向があり、不適切であり、機能しない。,人道的介入は、人間を安全保障の参照対象として優先させ、国家中心の現実主義的アプローチを損なうもの。,D
現代の安全保障研究において、なぜエネルギー安全保障というテーマが重要なのか?,エネルギー安全保障には、資源不足の懸念から政治的不安定の危険にいたるまで、さまざまな現代的課題が存在する。,信頼できるエネルギー供給の有無は、国家が経済発展を達成する能力を決定する。,エネルギー安全保障は、地域的・個人的なものから地球規模に至るまで、現代的かつ安全保障の根幹に関わる広範な問題を包含している。,これらすべての選択肢,D
